Wall time,Step,Value
1725004513.250643,1,0.2714610695838928
1725006474.2330813,2,0.1947794109582901
1725008445.122664,3,0.18470971286296844
1725010405.6599152,4,0.18470971286296844
1725012359.1901472,5,0.18470971286296844
1725014338.8134718,6,0.18470971286296844
1725016296.4954317,7,0.1947794109582901
1725018255.6991656,8,0.18470971286296844
1725020221.1535878,9,0.1947794109582901
1725022267.271188,10,0.18470971286296844
1725024244.3035223,11,0.18470971286296844
1725026192.9332583,12,0.18470971286296844
1725028149.598558,13,0.18470971286296844
1725030105.1593168,14,0.18470971286296844
1725032066.2528584,15,0.18470971286296844
1725034022.9266372,16,0.18470971286296844
1725035978.8475418,17,0.18470971286296844
1725037935.358824,18,0.18470971286296844
1725039888.9854772,19,0.18470971286296844
1725041840.621433,20,0.1947794109582901
1725043792.6433358,21,0.18470971286296844
1725045747.0089333,22,0.18470971286296844
1725047707.2837098,23,0.18470971286296844
1725049666.481252,24,0.18470971286296844
1725051618.7160285,25,0.18470971286296844
1725053579.130767,26,0.18470971286296844
1725055534.8300855,27,0.18470971286296844
1725057486.2600324,28,0.18470971286296844
1725059445.7557027,29,0.18470971286296844
1725061410.4082365,30,0.18470971286296844
1725063365.506046,31,0.18470971286296844
1725065310.3642654,32,0.18470971286296844
1725067258.8759222,33,0.24495893716812134
1725069209.033702,34,0.2652696371078491
1725071115.2518306,35,0.30519741773605347
1725073010.6080139,36,0.3215171992778778
1725074918.612525,37,0.3312843441963196
1725076830.7619364,38,0.3372015058994293
1725078734.439981,39,0.361694872379303
1725080662.9163833,40,0.3630034625530243
1725082609.4132469,41,0.37394019961357117
1725084537.0026786,42,0.38764217495918274
1725086472.5602238,43,0.3910748362541199
1725088403.196772,44,0.399543434381485
1725090331.3075044,45,0.41513535380363464
1725092273.5237944,46,0.4029081165790558
1725094198.8103108,47,0.4167672395706177
1725096131.8064852,48,0.3999897241592407
1725098060.7417662,49,0.4312101900577545
1725099996.095877,50,0.4332274794578552
1725101931.982011,51,0.4343167245388031
1725103866.896254,52,0.4411908984184265
1725105798.8394647,53,0.45464515686035156
1725107729.144756,54,0.4390018880367279
1725109662.238901,55,0.4567805826663971
1725111592.8916473,56,0.44567593932151794
1725113516.7488685,57,0.42555156350135803
1725115449.2501025,58,0.46174514293670654
1725117382.9822574,59,0.4764249920845032
1725119319.5389173,60,0.45056411623954773
1725121248.0429747,61,0.44164273142814636
1725123180.435842,62,0.45779359340667725
1725125113.6372116,63,0.4596804678440094
1725127041.0448186,64,0.45703980326652527
1725128966.7583416,65,0.4692506492137909
1725130896.7440395,66,0.476214736700058
1725132831.5638866,67,0.46797212958335876
1725134762.7970395,68,0.4861559271812439
1725136693.9160469,69,0.4833959639072418
1725138629.2468023,70,0.4930194020271301
1725140560.7702217,71,0.48238059878349304
1725142491.631139,72,0.48208802938461304
1725144439.481314,73,0.48266294598579407
1725146373.2497551,74,0.49759435653686523
1725148311.3800771,75,0.5011848211288452
1725150249.4125257,76,0.4981938302516937
1725152181.3074088,77,0.49475961923599243
1725154122.7149472,78,0.5045385956764221
1725156056.032775,79,0.4955631494522095
1725157979.4890087,80,0.4956141710281372
1725159897.9793038,81,0.49907445907592773
1725161798.265934,82,0.48040109872817993
1725163721.8076203,83,0.5013269186019897
1725165643.178021,84,0.4867795705795288
1725167563.6072495,85,0.5125523805618286
1725169503.922133,86,0.5037034749984741
1725171437.2670648,87,0.5190551280975342
1725173370.1873465,88,0.5178409218788147
1725175302.1127782,89,0.5038866996765137
1725177235.0566142,90,0.4973231852054596
1725179176.573861,91,0.5096792578697205
1725181110.7722692,92,0.4866989552974701
1725183047.5538497,93,0.5001306533813477
1725184979.2451863,94,0.5165709853172302
1725186913.3500664,95,0.4909653067588806
1725188847.440966,96,0.5169337391853333
1725190783.3732586,97,0.5075654983520508
1725192710.7191353,98,0.5125436186790466
1725194641.3131843,99,0.5114452242851257
1725196571.2654614,100,0.5109424591064453
1725198501.5575304,101,0.51193767786026
1725200432.360445,102,0.5090497732162476
1725202366.8053737,103,0.5077396631240845
1725204298.0950632,104,0.5157313346862793
1725206257.5295804,105,0.5278106331825256
1725208196.5893862,106,0.5186365842819214
1725210126.8761878,107,0.5130205750465393
1725212037.3802094,108,0.5267132520675659
1725213973.531435,109,0.5099073052406311
1725215904.753321,110,0.5231577754020691
1725217828.9397113,111,0.5213795900344849
1725219754.6790261,112,0.5245523452758789
1725221686.3007507,113,0.5170599818229675
1725223618.6681643,114,0.5317329168319702
1725225542.4111602,115,0.5088458061218262
1725227471.461492,116,0.5209728479385376
1725229399.7289371,117,0.5100481510162354
1725231300.1366425,118,0.5231533050537109
1725233214.574144,119,0.49436214566230774
1725235122.3992052,120,0.5313002467155457
1725237031.0101154,121,0.5373923182487488
1725238941.5551133,122,0.5306130051612854
1725240854.9085624,123,0.5293300747871399
1725242769.0340536,124,0.5351681113243103
1725244678.345399,125,0.5281890630722046
1725246588.1510158,126,0.5237805843353271
1725248500.2250004,127,0.527862548828125
1725250407.7408562,128,0.5231805443763733
1725252314.837024,129,0.5293324589729309
1725254231.708019,130,0.5161116719245911
1725256140.8236966,131,0.5243449807167053
1725258053.8265157,132,0.5236891508102417
1725259968.2930052,133,0.5219460725784302
1725261884.9978962,134,0.5148130655288696
1725263799.28736,135,0.520363450050354
1725265718.2646427,136,0.5229088068008423
1725267627.7930562,137,0.5039538741111755
1725269537.7962904,138,0.5187464952468872
1725271453.6538644,139,0.516021728515625
1725273388.6832666,140,0.5345448851585388
1725275591.8337145,141,0.5170229077339172
1725277803.0353491,142,0.5271380543708801
1725280226.4334881,143,0.5201432108879089
1725282149.1393027,144,0.4941891133785248
1725284066.1071746,145,0.5283095240592957
1725285978.9978004,146,0.5271198153495789
1725288186.1245885,147,0.5311458706855774
1725290486.3891218,148,0.5310112237930298
1725292727.4792027,149,0.5312639474868774
1725294834.1780524,150,0.5331276059150696
1725296952.8759568,151,0.5313680768013
1725299083.1134894,152,0.5279067754745483
1725301200.7199492,153,0.5326424837112427
1725303330.0831006,154,0.5292705297470093
1725305451.2619827,155,0.5254548192024231
1725307561.6775389,156,0.5243332982063293
1725309663.4182835,157,0.5263620615005493
1725311802.3296509,158,0.5168181657791138
1725313908.0205493,159,0.5306114554405212
1725316031.510888,160,0.5301722288131714
1725318161.2793806,161,0.5241034030914307
1725320266.1449811,162,0.5263053178787231
